"cardcode";"cardname";"contact";"telephone";"email";"info_livraison"
"F23700";"S.P.H.B.";"Commercial: sonia hoareau";"";"s.ragot@sphb.re";
"F23700";"S.P.H.B.";"Commande: Commercial";"0692.87.11.85";"gescom@sphb-reunion.com";
"F00318";"SALAISONS DE BOURBON";"Lucile Sarpedon";;"commandes@salaisonsdebourbon.re";"J+1"
"F00318";"SALAISONS DE BOURBON";"Lucile Sarpedon";;"televente1@salaisonsdebourbon.re";"J+1"
"F00318";"SALAISONS DE BOURBON";"Fabrice Angenard";"06.92.63.49.51";"fangenard@salaisonsdebourbon.re";"J+1"
"F25851";"SICRE";"Commande: Laurence";;"l.gonthier@cafelelion.com";
"F41500";"SODEXMA";"Commande: Mr Maillot";"0692.87.65.61";"jack-elian.maillot@sogerep-run.com";
"F05460";"SODILE";"Commande: Mr Leveneur";"0692.64.88.83";"sodile@wanadoo.fr";
"F25900";"SOGEREP S.A.S";"Commande: Richard";"0692.87.28.23";"richard.hoarau@sogerep-run.com";
"F26500";"SOREBRA";"COT/CILAOS: Nathalie";"0692.59.22.27";"commercialsud.sorebra@gmail.com";
"F00308";"SORINORD";"Commande: Fabien";"0692.30.90.53";;
"F24200";"STOCK SERVICE";"Commande: Mr Jimmy Rubin";"0692.69.03.10";"jimmy.rubin@redisma.re";
